c1,c2,u1,u2,t
6,17,0.13412,0.35127,2
6,18,0.12449,0.37257,8
6,19,0.12944,0.39393,1
6,20,0.12427,0.40655,5
6,21,0.1256,0.42765,2
6,22,0.12718,0.44818,4
6,23,0.12518,0.46803,8
6,24,0.1284,0.49538,4
6,25,0.12533,0.51935,1
6,26,0.12561,0.53006,3
6,27,0.12758,0.54625,7
6,30,0.1273,0.61278,4
6,31,0.12922,0.63804,1
6,32,0.1242,0.64543,4
6,33,0.13776,0.66477,1
6,34,0.13079,0.69226,1
6,36,0.13222,0.72756,1
6,37,0.12062,0.75449,1
6,45,0.13874,0.91285,1
6,46,0.12989,0.92604,5
6,47,0.12512,0.94103,1
6,49,0.12577,0.99597,1
7,1,0.14917,0.03512,1
7,2,0.1428,0.0535,1
7,4,0.14618,0.09186,6
7,5,0.1485,0.11075,11
7,6,0.14822,0.13431,5
7,7,0.14725,0.14881,5
7,8,0.14649,0.16645,5
7,9,0.14936,0.19022,7
7,10,0.14718,0.20592,8
7,14,0.14775,0.29237,1
7,17,0.1528,0.3498,1
7,18,0.14147,0.3694,1
7,21,0.14469,0.42657,1
7,27,0.1475,0.55269,2
7,28,0.14632,0.56521,1
7,32,0.15303,0.64317,1
7,38,0.14498,0.77894,1
7,42,0.15698,0.84889,6
7,43,0.15174,0.8681,3
7,44,0.14822,0.88803,6
7,48,0.15505,0.9713,1
8,3,0.16751,0.06057,1
8,4,0.1686,0.09113,9
8,5,0.17174,0.10996,7
8,6,0.16932,0.12796,5
8,7,0.17161,0.15153,10
8,8,0.17333,0.1687,7
8,9,0.1661,0.19248,5
8,10,0.17108,0.20878,8
8,11,0.16431,0.23795,1
8,13,0.16909,0.27572,1
8,14,0.1776,0.28507,1
8,15,0.17831,0.31799,1
8,18,0.17454,0.36001,1
8,19,0.17762,0.39653,1
8,21,0.17823,0.42991,2
8,22,0.17851,0.44553,3
8,24,0.17739,0.49974,1
8,25,0.17788,0.51131,5
8,26,0.17817,0.53501,1
8,27,0.17761,0.55778,2
8,29,0.17796,0.59754,2
8,31,0.17841,0.63541,2
8,34,0.16338,0.69288,1
8,36,0.1722,0.7373,1
8,38,0.17673,0.77057,4
8,39,0.17788,0.78681,3
8,40,0.16732,0.81079,3
8,41,0.16779,0.83113,6
8,42,0.16907,0.85206,2
8,45,0.17567,0.91472,1
8,47,0.17266,0.94042,1
9,2,0.19482,0.04458,1
9,3,0.19139,0.06072,1
9,4,0.1922,0.09213,10
9,5,0.18849,0.11055,7
9,6,0.19021,0.13069,6
9,7,0.18828,0.14962,9
9,8,0.19446,0.1694,10
9,9,0.18712,0.19166,11
9,10,0.1864,0.21063,4
9,14,0.19032,0.29315,8
9,15,0.18683,0.30823,5
9,16,0.19193,0.32918,11
9,17,0.19003,0.352,4
9,18,0.18773,0.37127,12
9,19,0.18928,0.38879,7
9,20,0.18879,0.41018,7
9,21,0.18788,0.42983,4
9,22,0.19102,0.4457,5
9,23,0.18798,0.46932,8
9,24,0.18732,0.48657,4
9,25,0.18759,0.5117,6
9,26,0.18689,0.52694,6
9,27,0.18739,0.55041,5
9,28,0.18694,0.56909,9
9,29,0.18988,0.59101,7
9,30,0.19089,0.6128,7
9,31,0.1901,0.63061,10
9,32,0.1926,0.65336,4
9,33,0.18854,0.67579,4
9,34,0.18788,0.6892,6
9,35,0.18847,0.70996,8
9,36,0.18923,0.72727,7
9,37,0.19291,0.74846,7
9,38,0.19007,0.77205,9
9,39,0.18824,0.79212,7
9,40,0.19343,0.8083,6
9,41,0.19255,0.82903,8
9,42,0.19026,0.84648,7
9,44,0.19802,0.88462,1
9,48,0.19898,0.97313,2
9,49,0.19884,0.99994,1
10,2,0.21952,0.0586,1
10,3,0.20261,0.07156,1
10,4,0.20801,0.09267,5
10,5,0.21154,0.10673,5
10,6,0.21284,0.13318,7
10,7,0.21224,0.15221,5
10,8,0.21272,0.17141,10
10,9,0.2115,0.18992,13
10,10,0.2121,0.21,10
10,14,0.21359,0.28973,7
10,15,0.21414,0.313,4
10,16,0.212,0.33119,5
10,17,0.21242,0.34932,9
10,18,0.20981,0.36936,9
10,19,0.2074,0.38745,5
10,20,0.21415,0.40766,6
10,21,0.21148,0.43373,6
10,22,0.20991,0.45429,2
10,23,0.21185,0.46577,5
